key,source,target
DC/Text_UI_WB_CharacterLevelFame_LevelFormat,Lv.{0},Рв.{0}
DC/Text_UI_WB_DealTableBuyRecovery_BuyBtn,Make Deal,Укласти угоду
DC/Text_UI_WB_MarketplacePurchaseGroup_Title,Make a purchase,Зробити покупку
DC/Text_UI_WB_MerchantDealTableMindwipe_RemainTime,Manufacturing Time,Терміни виготовлення
DC/Text_UI_WB_DungeonSelect_Desc_01,Maps Rotate,Поворот карт
DC/Text_UI_WB_TradeChannelList_MarketChannels,Market Channels,Ринкові канали
DC/Text_UI_WB_Marketpace_TopTitle_Title,Marketplace,Ринку
DC/Text_UI_WB_MarketplacePurchaseGroup_TopTitle_Title,Marketplace,Ринку
DC/Text_UI_WB_MasterClassListSlot_Mastered,Mastered,Освоїли
DC/Text_UI_WB_TrainingRewardSlot_Mastered,Mastered,Освоїли
DC/Text_UI_v2_WB_MerchantPage_Mindwipe,Mindwipe,Витирання розуму
DC/Text_UI_WB_LegendaryStatusBenefitSlot_Title_01,8 Additional Character Slots!,Більше слотів для персонажів
DC/Text_UI_WB_ClassGroup_Music,Music,Музика
DC/Text_UI_WB_Marketplace_TabList_MyListings,My Listings,Мої оголошення
DC/Text_UI_WB_MerchantPage_ComboBox_Name,Name,Ім'я
DC/Text_UI_WB_BtnKnightLink_Title,Need a guide?,Потрібен екскурсовод?
DC/Text_UI_WB_TrainingInDevelopment_InDevelopment,New training system in development.,Нова система навчання в розробці.
DC/Text_UI_WB_LearningTokensPanel_NextLearning,Next Learning Token at,Наступний навчальний жетон за адресою
DC/Text_UI_WB_RewardTokensPanel_NextRearning,Next Reward Token at,Наступний жетон винагороди на
DC/Text_UI_WB_CrossPlatformLinkPopup_ButtonCancel01,No,Ні
DC/Text_UI_WB_MerchantShortcutPopup_Button_No,No,Ні
DC/Text_UI_WB_SquireStatusBenefitSlot_Desc_01,No Shared Stash between Characters​,Немає спільної схованки між персонажами
DC/Text_UI_WB_DungeonSelect_Level_HighRoller_Characteristics_0,No item grade limit.,Немає обмежень за оцінкою предмета.
DC/Text_UI_WB_TrainingLearningTokensPanel_None,None,Ніхто
DC/Text_UI_WB_DungeonSelectSlot_Goblin_Normal,Normal,Нормальний
DC/Text_UI_WB_DungeonSelectSlot_IceCavern_Normal,Normal,Нормальний
DC/Text_UI_WB_DungeonSelectSlot_Ruins_Normal,Normal,Нормальний
DC/Text_UI_WB_CurrencyTypeSlot_NotEnoughCurrency,Not enough of this currency.,Не вистачає цієї валюти.
DC/Text_UI_WB_ShopAccountStatusUpgradeComplete_OkBtn,OK,ГАРАЗД
DC/Text_UI_WB_MailboxInventory_FriendPrivacyOff,Off,Вимкнено
DC/Text_UI_WB_VideoOptionSlotAntiAliasingSuperResolutionSlot_Off,Off,Вимкнено
DC/Text_UI_WB_InviteParty_Offline,Offline,Не в мережі
DC/Text_UI_WB_InviteParty_UserSlot_Member_Offline,Offline,Не в мережі
DC/Text_UI_WB_InviteParty_UserSlot_ReceivedInvitation_Offline,Offline,Не в мережі
DC/Text_UI_WB_SelectMyStatus_Offline,Offline,Не в мережі
DC/Text_UI_WB_LoginSecretToken_Ok,OK,ГАРАЗД
DC/Text_UI_WB_MailboxInventory_FriendPrivacyOn,On,Увімкнено
DC/Text_UI_WB_InviteParty_UserSlot_Member_Online,Online,Онлайн
DC/Text_UI_WB_SelectMyStatus_Online,Online,Онлайн
DC/Text_UI_WB_SquireStatusBenefitSlot_Title_02,Only 1 Character Slot,Лише 1 слот для персонажів
DC/Text_UI_WB_DungeonSelect_ItemRarityLimit,Only items of <ItemRarity>{0}</> grade or lower can be taken into the dungeon.,До підземелля можна брати лише предмети з рідкістю <ItemRarity>{0}</> або нижче.
DC/Text_UI_WB_ItemTooltip_PriceType_Overpaying,Regular Price,Звичайна ціна
DC/Text_UI_WB_InviteParty_UserSlot_Member_Party_00,Party,Партія
DC/Text_UI_WB_MarketplaceTransferPayment_Title,Payout inventory,Інвентаризація виплат
DC/Text_UI_WB_VideoOptionSlotSuperResolutionMode_Performance,Performance,Продуктивність
DC/Text_UI_WB_MenuOptions_Platform,Platform,Платформа
DC/Text_UI_WB_MenuOptionsLink_Title_03,Platform Link,Посилання на платформу
DC/Text_UI_WB_Menu_PlayTime,Play Time,Час гри
DC/Text_UI_WB_TradeChannelList_MarketCategory,Player markets,Ринки гравців
DC/Text_UI_WB_ReportPlayerComboBox_PlaceHolder,Player Name,Ім'я гравця
DC/Text_UI_WB_Play_PlayerStatistics,Player Statistics,Статистика гравців
DC/Text_UI_WB_InviteParty_Menu_Players,Players,Гравці
DC/Text_UI_WB_InviteParty_PlayersList,Players List,Список гравців
DC/Text_UI_WB_CrossPlatformLinkPopup_Desc02,"Please enter your link code.
The created code is only valid for 10 minutes.","Будь ласка, введіть код посилання.
Створений код дійсний лише протягом 10 хвилин."
DC/Text_UI_WB_ShopAccountStatusUpgrade_Desc_02,Please note that upgrades and unlocks are final and cannot be refunded.,"Зверніть увагу, що оновлення та розблокування є остаточними і не підлягають поверненню."
DC/Text_UI_WB_MarketplacePurchaseGroup_Master01,"Please place the items requested by
the seller into the purchase inventory
if you want to complete the trade.","Будь ласка, помістіть товари, які запросив
продавець, в інвентар покупки,
якщо ви хочете завершити угоду."
DC/Text_UI_WB_MarketplaceSellTable_Desc_01,"Please select the item from your stash or inventory
that you wish to list on the marketplace","Будь ласка, виберіть товар зі своєї схованки або інвентарю
, який ви хочете розмістити на маркетплейсі"
DC/Text_UI_WB_MenuOptionsLink_Desc,"The platform link features allows a user to link a previous account to a new platform. Supported platforms are shown on the left. Platforms that are linked to this account will display an identifier key. This identifier key is NOT the link-code.

Instructions on linking this account to a new platform.
1. Generate a temporary unique ‘Link-Code’ by pressing the ‘Get Link-Code’ button. The code will appear hidden to protect your account. DO NOT REVEAL THIS CODE TO ANYONE.
2. Press the ‘Copy’ button to have the code copied to your system memory.
3. Close the game and then open Dark and Darker on the new platform you wish to link this account.

Linking the account to a brand-new platform with no characters created.
a. If the new platform has no account associated with it (i.e. no character was ever created), then a ‘Link Account’ popup will appear when you log into the game. Follow the Link Account instructions and paste the copied Link-Code when prompted. Once you successfully link an account you will advance to the character selection screen for your original account.

Linking the account to a platform that you accidentally created a character on.
a. If you accidentally created a character on the new platform, you need to first delete ALL characters on the new platform before linking your original account. You can delete a character by going to the main ‘Character Select’ menu and pressing the ‘Delete Character’ button.
b. Once all characters are deleted on the account restart the game on the new platform and follow the instructions above.
<ImportantText>c. It is not possible to link a previous account to the new platform account if Redstones were ever purchased on the new platform account, even if all characters have been removed. We recommend creating another account on the new platform if you wish to transfer to that platform in this instance.</>","Функція Platform Link дозволяє користувачеві пов'язати попередній обліковий запис із новою платформою.

Інструкція щодо прив'язки цього облікового запису до нової платформи.
1. Згенеруйте тимчасовий унікальний «Link-код», натиснувши кнопку «Отримати link-код». Код з'явиться прихованим, щоб захистити ваш обліковий запис. НІКОМУ НЕ ПОВІДОМЛЯЙТЕ ЦЕЙ КОД.
2. Натисніть кнопку «Копіювати», щоб скопіювати код у системну пам'ять.
3. Відкрийте Dark and Darker на новій платформі, яку ви хочете пов'язати з цим обліковим записом.

Прив'язка облікового запису до абсолютно нової платформи без створення символів.
a. Якщо нова платформа не має облікового запису, пов'язаного з нею (тобто персонаж ніколи не був створений), то при вході в гру з'явиться спливаюче вікно «Зв'язати обліковий запис». Дотримуйтесь інструкцій Link Account і вставте скопійований код посилання, коли з'явиться запит. Після того, як ви успішно зв'яжете обліковий запис, ви перейдете на екран вибору персонажа для вашого початкового облікового запису.

Прив'язка облікового запису до платформи, на якій ви випадково створили персонажа.
a. Якщо ви випадково створили персонажа на новій платформі, вам потрібно спочатку видалити ВСІХ символів на новій платформі, перш ніж прив'язувати свій початковий обліковий запис. Ви можете видалити персонажа, перейшовши в головне меню «Вибір символу» та натиснувши кнопку «Видалити символ».
б. Після того, як усі персонажі будуть видалені з облікового запису, перезапустіть гру на новій платформі та дотримуйтесь інструкцій вище."
DC/Text_UI_WB_MarketplaceSellTable_Price,Price,Ціна
DC/Text_UI_WB_MarketplaceTransferPayment_Price,Price,Ціна
DC/Text_UI_WB_MerchantDealTableMindwipe_Price,Price,Ціна
DC/Text_UI_WB_ViewMarket_SortButton_Price,Price,Ціна
DC/Text_UI_WB_Inventory_CharacterStatusDetail_ImpactPowerPrimary,Primary Weapon Impact Power,Сила Удару Основної Зброї
DC/Text_UI_WB_VideoOptionSlotSuperResolutionMode_Quality,Quality,Якість
DC/Text_UI_WB_QuestLogWidget_Title,Quest Log,Журнал квесту
DC/Text_UI_WB_MerchantDealTableQuest_QuestCompeleted,Quest completed,Квест завершено
DC/Text_UI_WB_MerchantDealTableQuest_QuestInProgress,Quest in progress,Квест триває
DC/Text_UI_WB_Play_QuestLog,Quest Log,Журнал квестів
DC/Text_UI_v2_WB_MerchantPage_QuickPrepare,Quick Prepare,Швидка підготовка
DC/Text_UI_WB_ViewMarket_SortButton_RandomAttribute,Random Attribute,Випадковий атрибут
DC/Text_UI_WB_LeaderBoard_Rank,Rank,Ранг
DC/Text_UI_WB_LeaderboardSheet_RankGuide,Rank Guide,Путівник по званнях
DC/Text_UI_WB_ItemTooltip_Rarity,Rarity,Рідкість
DC/Text_UI_WB_MerchantPage_ComboBox_Rarity,Rarity,Рідкість
DC/Text_UI_WB_ViewMarket_SortButton_Rarity,Rarity,Рідкість
DC/Text_UI_v2_WB_ItemTooltip_Info_Rarity,Rarity,Рідкість
DC/Text_UI_WB_Marketpace_TopTitle_RightButton,Read Rules,Правила читання
DC/Text_UI_WB_MarketplacePurchaseGroup_TopTitle_RightButton,Read Rules,Правила читання
DC/Text_UI_WB_TrainingLearningResult_ReceiveButton,Receive,Отримати
DC/Text_UI_WB_TrainingPopupRedeemCheckReward_ReceiveButton,Receive,Отримати
DC/Text_UI_WB_TrainingRewardRedeemResult_ReceiveButton,Receive,Отримати
DC/Text_UI_WB_MarketplaceSell_MasterText_Destroyed,Received Items expired and have been destroyed,Отримані предмети прострочені та знищені
DC/Text_UI_WB_ViewMarket_RecentButton,Refresh,Оновити
DC/Text_UI_WB_ShopMain_TabList_RedStone,Redstone Shard,Уламок червоного каменю
DC/Text_UI_WB_BtnRedeemReward_RedeemButton,Redeem,Викупити
DC/Text_UI_WB_TrainingLearningTokensPanel_RedeemButton,Redeem,Обміняти
DC/Text_UI_WB_TrainingPopupRedeemCheckLearning_RedeemButton,Redeem,Обміняти
DC/Text_UI_WB_TrainingPopupRedeemCheckReward_RedeemBtn,Redeem,Отримати
DC/Text_UI_WB_TrainingPopupRedeemCheckReward_Title,Redeem reward tokens ,Отримати Жетони Нагород
DC/Text_UI_WB_RewardTokensPanel_Desc_01,"Redeem your token to select from
3 random rewards.
Once you select a reward,
it will be delivered to your stash.
If you do not have room in your stash,
it will be delivered to your inventory.","Отримайте жетон на вибір з
3 випадкових нагород.
Як тільки ви оберете нагороду,
її буде доставлено до вашої схованки.
Якщо у вас немає місця у схованці,
її буде доставлено до вашого інвентарю."
DC/Text_UI_WB_InviteParty_RejectAll,Reject all,Відхилити всіх
DC/Text_UI_WB_MerchantDealTableQuest_ReleaseConditions_Title,Release conditions,Умови звільнення
DC/Text_UI_WB_MerchantDealTableQuickPrepare_SubTitle,Items to be moved,Предмети для переміщення
DC/Text_UI_WB_DeathCamMain_Replay,Replay,Відтворити
DC/Text_UI_WB_ReportPlayerHR_Btn_Report,Report,Звіт
DC/Text_UI_WB_ReportPlayerHighRollerTitle,Report Player,Повідомити гравця
DC/Text_UI_WB_MarketplacePurchaseGroup_RequiredGold,Required Gold,Необхідне золото
DC/Text_UI_WB_TradeAccountTimeLocked_SquireNotAllowed,Requires Legendary Status,Потребує легендарного статусу
DC/Text_UI_WB_Login_ResourceLoading,Loading...,Завантаження...
DC/Text_UI_WB_MarketplaceSellTable_ButtonRetrieve,Retrieve Item,Повернути річ
DC/Text_UI_WB_MerchantDealTableQuest_Reward,Reward,Нагорода
DC/Text_UI_WB_BtnRedeemReward_RewardTokens,Reward Tokens,Жетони нагород
DC/Text_UI_WB_RewardTokensPanel_RewardTokens,Reward Tokens,Жетони нагород
DC/Text_UI_WB_LeaderboardSheet_RewardsLocked,Rewards locked,Нагороди заблоковані
DC/Text_UI_WB_ViewMarket_ResetfilterButton,Reset Filters,Скинути фільтри
DC/Text_UI_WB_DungeonResult_ScoreList,Score List,Список оцінок
DC/Text_UI_WB_ViewMarket_SearchButton,Search,Пошук
DC/Text_UI_WB_LeaderBoard_SeasonEnded,Season Rankings have ended.,Сезонні рейтинги завершено.
DC/Text_UI_WB_Inventory_CharacterStatusDetail_ImpactPowerSecondary,Secondary Weapon Impact Power,Сила Удару Вторинної Зброї
DC/Text_UI_WB_DungeonSelect_Title,Select a matching pool,Виберіть відповідний пул
DC/Text_UI_WB_TrainingLearningResult_SelectAnAbility,Select an Ability,Виберіть здатність
DC/Text_UI_WB_MarketplaceSellTable_SelectAnItem,Select an item,Виберіть предмет
DC/Text_UI_WB_TrainingRewardResult_SelectYourReward,Select your Reward,Виберіть свою нагороду
DC/Text_UI_WB_TrainingLearningTokensPanel_SelectedClassMaster,Selected Class Master,Майстер обраного класу
DC/Text_UI_WB_TrainingPopupRedeemCheckLearning_Title,Selected Class Master,Обраний майстер класу
DC/Text_UI_WB_MarketplaceSellTable_SellingPrice,Selling Price,Ціна продажу
DC/Text_UI_WB_InviteParty_Menu_Sendaninvite,Sent Invitations,Надіслані запрошення
DC/Text_UI_WB_MerchantDealTableBaseGear_BtnSet,Set Base Gear,Встановити базову передачу
DC/Text_UI_WB_LoginVoipInitializePopup_Setting,Setting,Налаштування
DC/Text_UI_WB_ClassGroup_ShapeShift,Shapeshift,Зміна форми
DC/Text_UI_WB_ClassShapeShiftEquippedGroup_ShapeShiftMemoryRequired,Shapeshift Memory Required,Потрібна пам'ять для перемикання форми
DC/Text_UI_WB_UnEquipmentShapeShiftList_ShapeShifts,Shapeshifts,Зміна форми
DC/Text_UI_WB_LegendaryStatusBenefitSlot_Title_04,Shared Stash,Спільна схованка
DC/Text_UI_WB_Lobby_Shop,Shop,Крамниця
DC/Text_UI_WB_MerchantPage_ComboBox_ItemSlot,Slot,Слот
DC/Text_UI_WB_ViewMarket_SortButton_Slot,Slot,Слот
DC/Text_UI_WB_InviteParty_UserSlot_Member_Solo,Solo,Соло
DC/Text_UI_WB_PersonnelLimits_SoloDuoOnly,Solos or Duos Only,Тільки соло або дуо
DC/Text_UI_WB_PersonnelLimits_SoloOnly,Solo Only,Тільки соло
DC/Text_UI_WB_AccountStatus_Squire,Squire,Зброєносець
DC/Text_UI_WB_LegendaryStatusPopup_SquireStatus,Squire Status,Статус зброєносця
DC/Text_UI_WB_TradeMembershipSubscriptionGroup_Squire,Squire Status: <Gold>Only buy items from the Marketplace.</>,Статус зброєносця: <Gold>Купуйте предмети тільки на ринку.
DC/Text_UI_WB_DealTableQuickPrepare_StashAllBtn,Stash Above Items,Схованка над предметами
DC/Text_UI_WB_ViewMarket_SortButton_StaticAttribute,Static Attribute,Статичний атрибут
DC/Text_UI_WB_VideoOptionSlotAntiAliasingSuperResolutionSlot_TSR,TSR,
DC/Text_UI_WB_MenuOptionsVideos_SuperResolutionModeTSR_Desc,TSR Mode,Режим TSR
DC/Text_UI_WB_MenuOptionsVideos_SuperResolutionModeTSR_Title,TSR Mode,Режим TSR
DC/Text_UI_WB_VideoOptionSlotAntiAliasingSuperResolutionSlot_TemporalAA,TemporalAA,
DC/Text_UI_WB_BtnDungeonList_IceCavernHighRoller,The Frost Mountain : High-Roller,Крижана гора: Високий рівень
DC/Text_UI_WB_BtnDungeonList_IceCavernNormal,The Frost Mountain : Normal,Крижана гора : Звичайний
DC/Text_UI_WB_BtnDungeonList_RuinsHighRoller,The Forgotten Castle : High-Roller,Забутий замок: Високий рівень
DC/Text_UI_WB_TavernStartTimer_TimeLeft3,The adventure is about to begin,Пригода ось-ось почнеться
DC/Text_UI_WB_GiftCodePopup_NotSufficientWarning,The code entered is not sufficient.,Введеного коду недостатньо.
DC/Text_UI_WB_MarketplaceSellTable_Desc_02,"The item will be listed on the marketplace for
{0} days before the listing expires.","Товар буде виставлений на маркетплейсі за
{0} днів до завершення терміну дії лістингу."
DC/Text_UI_WB_MarketplaceSellTable_Desc_04,"The listing fee is calculated based on {0}% of the selling price
you set or {1} gold whichever value is higher.","Плата за розміщення розраховується на основі {0}% від встановленої вами
ціни продажу або {1} золота, залежно від того, яка величина більша. "
DC/Text_UI_WB_MarketplaceTransferPayment_Complete,The sale is complete,Розпродаж завершено
DC/Text_UI_WB_CreatePlayerIDPopup_Check_02,This Account Name is Unavailable,Це ім'я облікового запису недоступне
DC/Text_UI_WB_CreatePlayerIDPopup_Check_03,Account Name is Available,Ім'я облікового запису доступне
DC/Text_UI_WB_DungeonResult_AP_TotalAPEarned,Total AP Earned,Всього зароблено AP
DC/Text_UI_WB_InventoryTotalGoldCountBase_TotalGold,Gold : ,Золото
DC/Text_UI_WB_TradeMembershipSubscriptionGroup_Requirements_LegendaryStatusBlock,The ability to sell items on the Marketplace and access to the Trading Post unlocks {0} hrs after ‘Legendary’ status is activated.,"Членство в торговельному союзі стає доступним лише через {0} годин після активації статусу ""Легендарний""."
DC/Text_UI_MarketplaceTradingMaster_Name,Trading Master,Торговий майстер
DC/Text_UI_WB_TrainingSystemDesc_Desc,"It was fun training adventurers across a multitude of skills, but I think I need a little more restraint in the future. I'll be back with an improved training regiment once I iron out some of the kinks. In the meantime, enjoy your rewards as your progress your journey.","Було весело тренувати шукачів пригод у різних навичках, але я думаю, що в майбутньому мені потрібно бути трохи стриманішим. Я повернуся з покращеним тренувальним полком, як тільки виправлю деякі недоліки. А поки що насолоджуйтеся нагородами, які ви отримуєте в міру проходження подорожі."
DC/Text_UI_WB_MarketplaceTransferPayment_TransferButton,Transfer All Items,Перенести всі предмети
DC/Text_UI_WB_ViewMarket_SortButton_Type,Type,Тип
DC/Text_UI_LeaderboardSheet_NoRank,Unranked,Без рейтингу
DC/Text_UI_LeaderboardSheet_RankGuideDesc_Normal,"-  Earn ‘Adventure Points’ by exploring the Normal dungeons.

-  Accumulate ‘Adventure Points’ to earn a ‘Seasonal Title’​.

-  Your in-game name and border will reflect your seasonal title.​
​
-  An Adventure Point entry fee is subtracted from your total
     based on your current Title each time you enter a dungeon.","- Заробляйте ""очки пригод"", досліджуючи звичайні підземелля.

- Накопичуйте ""очки пригод"", щоб отримати ""сезонний титул"".

- Ваше ігрове ім'я та межа відображатимуть ваш сезонний титул.

- Плата за вхід в підземелля віднімається від вашої загальної суми, виходячи з вашого поточного титулу, кожного разу, коли ви заходите в підземелля."
DC/Text_UI_WB_BtnDungeonList_DungeonMap,Dungeon Map,Мапа підземелля
DC/Text_UI_WB_BtnDungeonList_GoblinCave_N,The Goblin Caves : Normal,Печери Гоблінів: Звичайна
DC/Text_UI_WB_Btn_MatchmakinCancel_Cancel,Cancel,Скасувати
DC/Text_UI_WB_Btn_MatchmakinCancel_MatchMaking,Match Making,Підбір гравців
DC/Text_UI_WB_CharacterCreateMain_Back,Back,Назад
DC/Text_UI_WB_CharacterCreateMain_CharacterName,CHARACTER NAME,ІМ'Я ПЕРСОНАЖА
DC/Text_UI_WB_CharacterCreateMain_ClassInfo,Class Info,Інформація про клас
DC/Text_UI_WB_CharacterCreateMain_ClassList,Class List,Список класів
DC/Text_UI_WB_CharacterCreateMain_Confirm,Confirm,Підтвердити
DC/Text_UI_WB_CharacterCreateMain_SelectClass,SELECT CLASS,ОБРАТИ КЛАС
DC/Text_UI_WB_CharacterSelectMain_EntertheLobbyBtn,Enter the Lobby,Увійти у лобі
DC/Text_UI_WB_CharacterSelectMain_ExitBtn,Exit,Вийти
DC/Text_UI_WB_CharacterSelectMain_OptionBtn,Option,Налаштування
DC/Text_UI_WB_CharacterSelect_CharacterList_CharacterList,Character List,Список персонажів
DC/Text_UI_WB_CharacterSelect_CharacterList_CreateCharacterBtn,Create Character,Створити персонажа
DC/Text_UI_WB_ClassMusicCapacity_CostLimit,Cost Limit,Ліміт вартості
DC/Text_UI_WB_ClassMusicCapacity_MusicMemoryPriority,Music Memory Priority,Пріоритет музичної пам'яті
DC/Text_UI_WB_ClassMusicEquippedGroup_MusicMemoryRequired,Music Memory Required,Потрібна музична пам'ять
DC/Text_UI_WB_ClassShapeShiftEquippedGroup_Skill_I,Skill I,Вміння I
DC/Text_UI_WB_ClassShapeShiftEquippedGroup_Skill_II,Skill II,Вміння II
DC/Text_UI_WB_ClassSpellCapacity_CostLimit,Cost Limit,Обмеження вартості
DC/Text_UI_WB_ClassSpellCapacity_SpellMemoryPriority,Spell Memory Priority,Пріоритет пам'яті заклинань
DC/Text_UI_WB_ClassSpellEquippedGroup_Skill_I,Skill I,Вміння I
DC/Text_UI_WB_ClassSpellEquippedGroup_Skill_II,Skill II,Уміння II
DC/Text_UI_WB_ClassSpellEquippedGroup_SpellMemoryRequired,Spell memory required,Потрібна пам'ять заклинань
DC/Text_UI_WB_CommemorativePlaque_CloseBtn,Close,Закрити
DC/Text_UI_WB_DarkplaceTimer_TimeDesc_00,Catch your breath. The next floor opens in:,Переведіть подих. Відкривається наступний поверх:
DC/Text_UI_WB_DarkplaceTimer_TimeDesc_01,or when the current floor collapses.,або коли поточний поверх руйнується.
DC/Text_UI_WB_DealTableBuy_FillBtn,Fill In All Stash,Заповнити предметами
DC/Text_UI_WB_DealTableBuy_FillDesc,Gets items from all inventory and stash.,Отримати предмети з усього інвентарю та схованок.
DC/Text_UI_WB_DealTableBuy_Item2Purchase,Item to purchase,Предмет для придбання
DC/Text_UI_WB_DealTableBuy_MakeDealBtn,Make Deal,Укласти угоду
DC/Text_UI_WB_DealTableBuy_RequiredItem,Items required from you to complete the deal,"Предмети, необхідні для завершення угоди"
DC/Text_UI_WB_DealTableCraft_CraftBtn,Craft,Крафт
DC/Text_UI_WB_DealTableCraft_CraftCost,Craft Cost,Вартість крафта
DC/Text_UI_WB_DealTableCraft_FillBtn,Fill All Items,Заповнити всі предмети
DC/Text_UI_WB_DealTableCraft_Fill_Desc,Get Items From all Stash,Отримати предмети з усіх схованок
DC/Text_UI_WB_DealTableCraft_Item2craft,Item to craft,Предмет для крафту
DC/Text_UI_WB_DealTableSell_DealBtn,Make Deal,Укласти угоду
DC/Text_UI_WB_DealTableSell_Item2Sell,Item to sell,Предмет для продажу
DC/Text_UI_WB_DealTableSell_ReceiveInReturn,Item you receive in return,"Предмет, який ви отримуєте натомість"
DC/Text_UI_WB_DungeonKillLogItem_Down,Descended,Спустився
DC/Text_UI_WB_DungeonKillLogItem_Escape,Escaped,Втік
DC/Text_UI_WB_DungeonKillLogItem_Killed,Killed,Вбив
DC/Text_UI_WB_DungeonSelect_DungeonSelectBtn_Cancel,Cancel,Скасувати
DC/Text_UI_WB_DungeonSelect_DungeonSelectBtn_OK,OK,ОК
DC/Text_UI_WB_DungeonSelect_Level_HighRoller_Characteristics_1,No Kill-feed or in-game timer! Elite and Nightmare grade monsters!,Немає стрічки вбивств або ігрового таймера! Елітні та кошмарні монстри!
DC/Text_UI_WB_DungeonSelect_Level_HighRoller_Characteristics_2,Better drop rates for high quality gear!,Краща швидкість випадання для високоякісного спорядження!
DC/Text_UI_WB_DungeonSelect_Level_Normal_Ante,Ante,Вхід
DC/Text_UI_WB_DungeonSelect_Level_Normal_Free,Free,Безкоштовно
DC/Text_UI_WB_FramedStorage_Storage,Stash,Схованка
DC/Text_UI_WB_GameCancelTip_Cancel,Cancel,Скасувати
DC/Text_UI_WB_GameMusicPlayBar_Cancel,Cancel,Скасувати
DC/Text_UI_WB_GamePartyMember_Escaped,ESCAPED,ВТЕКЛИ
DC/Text_UI_WB_GameSpectatorGuide_ChangeTarget,Change Target,Змінити ціль
DC/Text_UI_WB_GameSpectatorGuide_ChangeView,Change View,Змінити вигляд
DC/Text_UI_WB_GameSpectatorGuide_OR,or,або
DC/Text_UI_WB_GameSpectatorGuide_ReportPlayer,Report Player,Поскаржитися на гравця
DC/Text_UI_WB_GameSpellCastingBar_Cancel,Cancel,Скасувати
DC/Text_UI_WB_GameTooltipMusic_InstrumentType,Instrument Type,Тип інструменту
DC/Text_UI_WB_Ingame_Storage_Title,Stash,Збирати
DC/Text_UI_WB_InputBindPage_PressAnyKeyToBind,Press a key to bind.,"Натисніть клавішу, щоб прив'язати."
DC/Text_UI_WB_InputBindPage_PressEscToCancel,Press ESC to cancel the custom keybind.,"Натисніть клавішу ESC, щоб скасувати нетипову прив'язку клавіш."
DC/Text_UI_WB_InventoryLooting_InventoryLootingWidget_LootingPlayerText,Loot Corpse,Здобич Труп
DC/Text_UI_WB_InventoryLooting_InventoryLootingWidget_TreasureBox,Treasure Box,Скринька зі скарбами
DC/Text_UI_WB_InventoryLooting_TreasureBox,Treasure Box,Скринька зі скарбами
DC/Text_UI_WB_Inventory_Status_CloseDetails,Close Details,Закрити деталі
DC/Text_UI_WB_Inventory_Status_OpenDetails,Open Details,Відкрити деталі
DC/Text_UI_WB_InviteListSlot_Desc,Will you accept the invitation?,Чи приймете ви запрошення?
DC/Text_UI_WB_InviteParty_Back,[ESC] Back,[ESC] Назад
DC/Text_UI_WB_InviteParty_Blocked,Blocked,Заблоковано
DC/Text_UI_WB_InviteParty_Dungeon,Dungeon,Темниця
DC/Text_UI_WB_InviteParty_InvitePartyRequest,Would you like to invite {0} to the party?,Хочете запросити {0} в команду?
DC/Text_UI_WB_InviteParty_Lobby,Lobby,Лобі
DC/Text_UI_WB_InviteParty_PartySlot,Party Slot,Місце в групі
DC/Text_UI_WB_ItemTooltipRequirementClass_AllClass,All Class,Весь клас
DC/Text_UI_WB_ItemTooltipRequirementClass_RequiredClass,Required Class,Обов'язковий клас
DC/Text_UI_WB_ItemTooltipRequirementPerk_RequiredPerk,Required Perk,Обов'язкова навичка
DC/Text_UI_WB_ItemTooltipRequirement_RequiredLevel,Required Level,Необхідний рівень
DC/Text_UI_WB_ItemTooltip_ArmorType,Armor Type,Тип броні
DC/Text_UI_WB_ItemTooltip_HandType,Hand Type,Тип руки
DC/Text_UI_WB_ItemTooltip_SlotType,Slot Type,Тип слота
DC/Text_UI_WB_ItemTooltip_Unidentified,Unidentified,Невідомі
DC/Text_UI_WB_ItemTooltip_UtilityType,Utility Type,Тип допоміжного предмета
DC/Text_UI_WB_ItemTooltip_WeaponType,Weapon Type,Тип зброї
DC/Text_UI_WB_KarmaMemberSlot_NoTeammate,No Teammate,Немає товариша по команді
DC/Text_UI_WB_KarmaMemberSlot_NotAvailable,Not Available,Немає в наявності
DC/Text_UI_WB_KarmaMemberSlot_TeamKiller,Team Killer,Вбивця команди
DC/Text_UI_WB_KarmaReport_Back,[ESC] Back,[ESC] Назад
DC/Text_UI_WB_KarmaReport_Description_01,"The Karma system displays the trustworthiness of a player based on the opinion of other adventurers.
You can affect the karma of your past teammates by giving them praise or condemnation.","Система Karma відображає надійність гравця на основі думки інших шукачів пригод.
Ви можете вплинути на карму своїх колишніх товаришів по команді, похваливши їх або засудивши."
DC/Text_UI_WB_KarmaReport_Description_02,You can only report on teammates from the previous 6 matches.,Ви можете звітувати лише про товаришів по команді за попередні 6 матчів.
DC/Text_UI_WB_KarmaReport_Description_03,<KarmaDesc>You currently have</> <KarmaRating>{0}</> <KarmaDesc>Karma Report.</>,<KarmaDesc>На даний момент у вас є</> <KarmaRating>{0}</> <KarmaDesc>Звіт про карму.</>
DC/Text_UI_WB_KarmaReport_Description_05,punishing a team killer does not use a Karma Report,Для покарання тімкілера не використовується звіт про карму
DC/Text_UI_WB_KarmaReport_Forgive,Forgive,Вибачити
DC/Text_UI_WB_KarmaReport_KarmaReport,Karma Report,Звіт про карму
DC/Text_UI_WB_KarmaReport_Praise,Praise,Похвала
